sample-id	md
sample1	6
sample2	8
sample3	5
sample4	6
sample5	5
sample6	4
sample7	9
sample8	1
sample9	3
sample10	2
sample11	4
sample12	3
sample13	1
sample14	6
sample15	1
sample16	8
sample17	4
sample18	6
sample19	4
sample20	3
sample21	3
sample22	8
sample23	1
sample24	8
sample25	9
sample26	3
sample27	7
sample28	1
sample29	9
sample30	6
sample31	8
sample32	2
sample33	2
sample34	5
sample35	4
sample36	4
sample37	1
sample38	2
sample39	7
sample40	1
sample41	6
sample42	6
sample43	9
sample44	2
sample45	6
sample46	1
sample47	9
sample48	8
sample49	9
sample50	7
sample51	6
sample52	3
sample53	7
sample54	3
sample55	5
sample56	4
sample57	9
sample58	9
sample59	2
sample60	1
sample61	3
sample62	6
sample63	7
sample64	5
sample65	2
sample66	9
sample67	9
sample68	3
sample69	8
sample70	1
sample71	7
sample72	5
sample73	2
sample74	9
sample75	7
sample76	8
sample77	4
sample78	5
sample79	1
sample80	2
sample81	4
sample82	2
sample83	6
sample84	7
sample85	8
sample86	9
sample87	9
sample88	3
sample89	2
sample90	4
sample91	2
sample92	3
sample93	4
sample94	9
sample95	3
sample96	8
sample97	8
sample98	8
sample99	2
sample100	9
sample101	4
sample102	3
sample103	3
sample104	3
sample105	8
sample106	6
sample107	3
sample108	3
sample109	2
sample110	6
sample111	5
sample112	6
sample113	8
sample114	9
sample115	7
sample116	7
sample117	6
sample118	8
sample119	7
sample120	8
sample121	4
sample122	5
sample123	1
sample124	2
sample125	1
sample126	4
sample127	6
sample128	2
sample129	4
sample130	1
sample131	1
sample132	8
sample133	6
sample134	4
sample135	9
sample136	6
sample137	8
sample138	7
sample139	1
sample140	1
sample141	6
sample142	4
sample143	8
sample144	9
sample145	4
sample146	1
sample147	8
sample148	2
sample149	5
sample150	7
sample151	7
sample152	1
sample153	2
sample154	9
sample155	9
sample156	3
sample157	6
sample158	2
sample159	9
sample160	8
sample161	7
sample162	3
sample163	5
sample164	6
sample165	3
sample166	7
sample167	6
sample168	8
sample169	6
sample170	2
sample171	7
sample172	1
sample173	2
sample174	4
sample175	8
sample176	4
sample177	3
sample178	8
sample179	8
sample180	2
sample181	4
sample182	9
sample183	4
sample184	4
sample185	1
sample186	6
sample187	6
sample188	3
sample189	6
sample190	4
sample191	1
sample192	4
sample193	2
sample194	9
sample195	5
sample196	2
sample197	7
sample198	4
sample199	9
sample200	1
sample201	8
sample202	1
sample203	8
sample204	7
sample205	6
sample206	5
sample207	5
sample208	8
sample209	2
sample210	4
sample211	4
sample212	2
sample213	1
sample214	9
sample215	6
sample216	2
sample217	3
sample218	2
sample219	5
sample220	3
sample221	5
sample222	9
sample223	3
sample224	6
sample225	5
sample226	7
sample227	8
sample228	9
sample229	2
sample230	6
sample231	5
sample232	8
sample233	4
sample234	1
sample235	6
sample236	4
sample237	1
sample238	9
sample239	3
sample240	2
sample241	4
sample242	8
sample243	4
sample244	7
sample245	4
sample246	2
sample247	7
sample248	8
sample249	7
sample250	9
sample251	2
sample252	2
sample253	5
sample254	3
sample255	6
sample256	7
sample257	1
sample258	1
sample259	4
sample260	4
sample261	2
sample262	5
sample263	2
sample264	7
sample265	8
sample266	6
sample267	8
sample268	3
sample269	1
sample270	7
sample271	2
sample272	1
sample273	1
sample274	5
sample275	5
sample276	2
sample277	9
sample278	8
sample279	9
sample280	1
sample281	2
sample282	3
sample283	5
sample284	5
sample285	9
sample286	6
sample287	4
sample288	9
sample289	7
