sample-id	md
sample1	5
sample2	6
sample3	1
sample4	3
sample5	6
sample6	1
sample7	3
sample8	5
sample9	3
sample10	7
sample11	2
sample12	1
sample13	4
sample14	5
sample15	1
sample16	2
sample17	3
sample18	9
sample19	7
sample20	1
sample21	3
sample22	9
sample23	7
sample24	8
sample25	4
sample26	9
sample27	9
sample28	1
sample29	4
sample30	9
sample31	2
sample32	3
sample33	4
sample34	7
sample35	3
sample36	8
sample37	9
sample38	1
sample39	6
sample40	7
sample41	7
sample42	9
sample43	1
sample44	7
sample45	7
sample46	6
sample47	1
sample48	5
sample49	6
sample50	7
sample51	4
sample52	1
sample53	6
sample54	4
sample55	7
sample56	4
sample57	1
sample58	2
sample59	4
sample60	2
sample61	7
sample62	3
sample63	8
sample64	1
sample65	3
sample66	3
sample67	2
sample68	5
sample69	3
sample70	8
sample71	2
sample72	6
sample73	4
sample74	2
sample75	5
sample76	7
sample77	7
sample78	3
sample79	5
sample80	3
sample81	4
sample82	2
sample83	3
sample84	5
sample85	5
sample86	2
sample87	8
sample88	5
sample89	9
sample90	4
sample91	9
sample92	1
sample93	6
sample94	4
sample95	5
sample96	9
sample97	6
sample98	6
sample99	2
sample100	1
sample101	8
sample102	8
sample103	8
sample104	6
sample105	7
sample106	8
sample107	7
sample108	1
sample109	2
sample110	1
sample111	5
sample112	6
sample113	8
sample114	4
sample115	4
sample116	2
sample117	8
sample118	1
sample119	2
sample120	8
sample121	5
sample122	1
sample123	4
sample124	3
sample125	9
sample126	8
sample127	7
sample128	9
sample129	1
sample130	8
sample131	6
sample132	7
sample133	4
sample134	7
sample135	6
sample136	8
sample137	9
sample138	9
sample139	4
sample140	8
sample141	4
sample142	5
sample143	6
sample144	6
sample145	1
sample146	6
sample147	2
sample148	4
sample149	3
sample150	1
sample151	6
sample152	7
sample153	8
sample154	5
sample155	3
sample156	9
sample157	7
sample158	4
sample159	3
sample160	1
sample161	7
sample162	4
sample163	6
sample164	8
sample165	4
sample166	3
sample167	5
sample168	5
sample169	1
sample170	3
sample171	2
sample172	6
sample173	6
sample174	4
sample175	3
sample176	6
sample177	5
sample178	1
sample179	9
sample180	4
sample181	2
sample182	3
sample183	9
sample184	8
sample185	3
sample186	8
sample187	4
sample188	8
sample189	5
sample190	3
sample191	3
sample192	8
sample193	4
sample194	3
sample195	3
sample196	9
sample197	4
sample198	9
sample199	2
sample200	1
sample201	9
sample202	5
sample203	4
sample204	5
sample205	3
sample206	4
sample207	8
sample208	8
sample209	3
sample210	1
sample211	2
sample212	3
sample213	1
sample214	3
sample215	1
sample216	6
sample217	9
sample218	1
sample219	2
sample220	3
sample221	4
sample222	3
sample223	6
sample224	1
sample225	7
sample226	1
sample227	3
sample228	8
sample229	8
sample230	1
sample231	9
sample232	3
sample233	2
sample234	4
sample235	4
sample236	1
sample237	1
sample238	2
sample239	8
sample240	2
sample241	7
sample242	4
sample243	4
sample244	1
sample245	4
sample246	3
sample247	9
sample248	4
sample249	8
sample250	3
sample251	5
sample252	8
sample253	3
sample254	8
sample255	2
sample256	3
sample257	6
sample258	3
sample259	9
sample260	5
sample261	6
sample262	6
sample263	3
sample264	5
sample265	6
sample266	9
sample267	2
sample268	3
sample269	4
sample270	1
sample271	5
sample272	8
sample273	4
sample274	4
sample275	4
sample276	1
sample277	2
sample278	8
sample279	7
sample280	9
sample281	3
sample282	8
sample283	8
sample284	3
sample285	4
sample286	6
sample287	9
sample288	3
sample289	5
