sample-id	md
sample1	3
sample2	1
sample3	1
sample4	8
sample5	7
sample6	7
sample7	1
sample8	3
sample9	7
sample10	4
sample11	1
sample12	6
sample13	2
sample14	6
sample15	5
sample16	1
sample17	3
sample18	6
sample19	9
sample20	3
sample21	9
sample22	5
sample23	2
sample24	1
sample25	8
sample26	5
sample27	4
sample28	2
sample29	2
sample30	6
sample31	2
sample32	5
sample33	8
sample34	2
sample35	2
sample36	8
sample37	7
sample38	7
sample39	9
sample40	7
sample41	6
sample42	7
sample43	1
sample44	2
sample45	6
sample46	8
sample47	8
sample48	7
sample49	6
sample50	6
sample51	8
sample52	4
sample53	3
sample54	1
sample55	3
sample56	7
sample57	7
sample58	8
sample59	8
sample60	4
sample61	4
sample62	8
sample63	8
sample64	3
sample65	1
sample66	8
sample67	8
sample68	9
sample69	9
sample70	8
sample71	9
sample72	8
sample73	2
sample74	5
sample75	9
sample76	6
sample77	4
sample78	4
sample79	1
sample80	1
sample81	9
sample82	3
sample83	3
sample84	7
sample85	5
sample86	9
sample87	1
sample88	4
sample89	6
sample90	5
sample91	3
sample92	5
sample93	9
sample94	5
sample95	1
sample96	2
sample97	7
sample98	7
sample99	5
sample100	5
sample101	7
sample102	2
sample103	6
sample104	1
sample105	4
sample106	8
sample107	6
sample108	8
sample109	9
sample110	7
sample111	6
sample112	6
sample113	4
sample114	5
sample115	9
sample116	6
sample117	8
sample118	3
sample119	7
sample120	2
sample121	3
sample122	5
sample123	2
sample124	1
sample125	5
sample126	1
sample127	9
sample128	5
sample129	9
sample130	3
sample131	4
sample132	5
sample133	6
sample134	3
sample135	2
sample136	5
sample137	2
sample138	2
sample139	9
sample140	8
sample141	8
sample142	1
sample143	8
sample144	7
sample145	1
sample146	2
sample147	8
sample148	8
sample149	4
sample150	1
sample151	3
sample152	4
sample153	3
sample154	8
sample155	5
sample156	7
sample157	8
sample158	1
sample159	1
sample160	6
sample161	3
sample162	4
sample163	4
sample164	5
sample165	6
sample166	2
sample167	3
sample168	9
sample169	1
sample170	6
sample171	7
sample172	8
sample173	3
sample174	8
sample175	6
sample176	9
sample177	7
sample178	8
sample179	1
sample180	4
sample181	3
sample182	7
sample183	5
sample184	2
sample185	2
sample186	1
sample187	6
sample188	1
sample189	3
sample190	1
sample191	2
sample192	3
sample193	5
sample194	2
sample195	3
sample196	9
sample197	1
sample198	6
sample199	8
sample200	9
sample201	2
sample202	6
sample203	3
sample204	9
sample205	2
sample206	6
sample207	8
sample208	4
sample209	4
sample210	5
sample211	8
sample212	9
sample213	5
sample214	3
sample215	4
sample216	9
sample217	5
sample218	3
sample219	7
sample220	5
sample221	8
sample222	9
sample223	2
sample224	5
sample225	4
sample226	9
sample227	8
sample228	7
sample229	8
sample230	7
sample231	2
sample232	4
sample233	7
sample234	3
sample235	9
sample236	7
sample237	1
sample238	3
sample239	4
sample240	8
sample241	5
sample242	1
sample243	4
sample244	1
sample245	7
sample246	9
sample247	5
sample248	6
sample249	1
sample250	5
sample251	2
sample252	5
sample253	4
sample254	8
sample255	9
sample256	9
sample257	3
sample258	9
sample259	1
sample260	7
sample261	4
sample262	6
sample263	6
sample264	7
sample265	9
sample266	5
sample267	3
sample268	6
sample269	6
sample270	7
sample271	6
sample272	1
sample273	2
sample274	9
sample275	2
sample276	5
sample277	6
sample278	6
sample279	5
sample280	2
sample281	2
sample282	9
sample283	6
sample284	3
sample285	7
sample286	4
sample287	8
sample288	5
sample289	3
