sample-id	md
sample1	5
sample2	2
sample3	5
sample4	9
sample5	1
sample6	8
sample7	3
sample8	5
sample9	2
sample10	8
sample11	7
sample12	9
sample13	6
sample14	6
sample15	8
sample16	3
sample17	1
sample18	5
sample19	5
sample20	3
sample21	5
sample22	1
sample23	1
sample24	5
sample25	9
sample26	4
sample27	3
sample28	3
sample29	9
sample30	7
sample31	6
sample32	7
sample33	9
sample34	3
sample35	7
sample36	6
sample37	8
sample38	3
sample39	5
sample40	5
sample41	4
sample42	8
sample43	2
sample44	1
sample45	5
sample46	1
sample47	7
sample48	7
sample49	4
sample50	5
sample51	1
sample52	7
sample53	5
sample54	3
sample55	9
sample56	9
sample57	9
sample58	5
sample59	7
sample60	9
sample61	2
sample62	7
sample63	5
sample64	1
sample65	3
sample66	9
sample67	5
sample68	3
sample69	5
sample70	8
sample71	9
sample72	8
sample73	8
sample74	3
sample75	3
sample76	4
sample77	4
sample78	6
sample79	9
sample80	8
sample81	5
sample82	4
sample83	5
sample84	3
sample85	8
sample86	5
sample87	2
sample88	7
sample89	8
sample90	7
sample91	3
sample92	1
sample93	7
sample94	5
sample95	8
sample96	3
sample97	2
sample98	7
sample99	5
sample100	5
sample101	2
sample102	6
sample103	9
sample104	4
sample105	6
sample106	3
sample107	6
sample108	2
sample109	5
sample110	3
sample111	4
sample112	3
sample113	7
sample114	8
sample115	7
sample116	2
sample117	3
sample118	7
sample119	5
sample120	1
sample121	3
sample122	3
sample123	9
sample124	8
sample125	1
sample126	8
sample127	6
sample128	9
sample129	8
sample130	2
sample131	3
sample132	2
sample133	4
sample134	5
sample135	9
sample136	7
sample137	4
sample138	4
sample139	5
sample140	5
sample141	5
sample142	6
sample143	9
sample144	2
sample145	3
sample146	3
sample147	4
sample148	3
sample149	3
sample150	9
sample151	6
sample152	8
sample153	9
sample154	8
sample155	1
sample156	5
sample157	3
sample158	7
sample159	8
sample160	1
sample161	7
sample162	1
sample163	2
sample164	6
sample165	3
sample166	1
sample167	6
sample168	2
sample169	9
sample170	8
sample171	1
sample172	4
sample173	4
sample174	6
sample175	5
sample176	9
sample177	6
sample178	1
sample179	9
sample180	9
sample181	8
sample182	5
sample183	7
sample184	9
sample185	7
sample186	7
sample187	2
sample188	1
sample189	3
sample190	3
sample191	9
sample192	9
sample193	9
sample194	5
sample195	6
sample196	6
sample197	8
sample198	4
sample199	2
sample200	4
sample201	4
sample202	5
sample203	7
sample204	2
sample205	7
sample206	8
sample207	5
sample208	5
sample209	4
sample210	9
sample211	1
sample212	5
sample213	7
sample214	4
sample215	2
sample216	9
sample217	5
sample218	2
sample219	6
sample220	7
sample221	2
sample222	4
sample223	1
sample224	5
sample225	3
sample226	6
sample227	4
sample228	7
sample229	5
sample230	8
sample231	8
sample232	2
sample233	2
sample234	7
sample235	1
sample236	3
sample237	5
sample238	8
sample239	2
sample240	2
sample241	7
sample242	9
sample243	3
sample244	9
sample245	3
sample246	9
sample247	5
sample248	2
sample249	3
sample250	2
sample251	5
sample252	4
sample253	3
sample254	5
sample255	5
sample256	5
sample257	9
sample258	5
sample259	7
sample260	3
sample261	2
sample262	4
sample263	7
sample264	1
sample265	7
sample266	6
sample267	2
sample268	3
sample269	1
sample270	4
sample271	5
sample272	9
sample273	8
sample274	4
sample275	4
sample276	6
sample277	4
sample278	2
sample279	3
sample280	6
sample281	9
sample282	4
sample283	9
sample284	8
sample285	7
sample286	3
sample287	7
sample288	9
sample289	7
