sample-id	md
sample1	3
sample2	2
sample3	3
sample4	5
sample5	2
sample6	4
sample7	5
sample8	5
sample9	3
sample10	4
sample11	7
sample12	7
sample13	4
sample14	2
sample15	9
sample16	2
sample17	1
sample18	3
sample19	3
sample20	5
sample21	9
sample22	3
sample23	5
sample24	8
sample25	7
sample26	8
sample27	1
sample28	6
sample29	8
sample30	5
sample31	1
sample32	9
sample33	2
sample34	1
sample35	7
sample36	4
sample37	6
sample38	1
sample39	6
sample40	1
sample41	5
sample42	4
sample43	8
sample44	1
sample45	4
sample46	8
sample47	4
sample48	7
sample49	1
sample50	3
sample51	1
sample52	3
sample53	1
sample54	5
sample55	4
sample56	6
sample57	5
sample58	5
sample59	7
sample60	2
sample61	9
sample62	7
sample63	3
sample64	5
sample65	1
sample66	2
sample67	8
sample68	3
sample69	2
sample70	8
sample71	8
sample72	6
sample73	9
sample74	2
sample75	2
sample76	5
sample77	9
sample78	7
sample79	9
sample80	4
sample81	8
sample82	7
sample83	9
sample84	5
sample85	1
sample86	3
sample87	3
sample88	2
sample89	6
sample90	3
sample91	4
sample92	9
sample93	4
sample94	8
sample95	4
sample96	8
sample97	6
sample98	4
sample99	9
sample100	3
sample101	7
sample102	8
sample103	2
sample104	3
sample105	7
sample106	1
sample107	6
sample108	4
sample109	6
sample110	6
sample111	1
sample112	3
sample113	2
sample114	8
sample115	7
sample116	1
sample117	7
sample118	5
sample119	4
sample120	4
sample121	6
sample122	7
sample123	6
sample124	8
sample125	7
sample126	5
sample127	4
sample128	9
sample129	2
sample130	1
sample131	6
sample132	2
sample133	5
sample134	7
sample135	3
sample136	8
sample137	3
sample138	7
sample139	9
sample140	7
sample141	9
sample142	3
sample143	9
sample144	5
sample145	5
sample146	5
sample147	2
sample148	5
sample149	7
sample150	6
sample151	1
sample152	4
sample153	4
sample154	3
sample155	9
sample156	3
sample157	1
sample158	9
sample159	8
sample160	5
sample161	2
sample162	6
sample163	9
sample164	2
sample165	1
sample166	6
sample167	9
sample168	7
sample169	6
sample170	9
sample171	6
sample172	1
sample173	4
sample174	3
sample175	1
sample176	1
sample177	1
sample178	8
sample179	2
sample180	1
sample181	4
sample182	2
sample183	3
sample184	6
sample185	8
sample186	3
sample187	3
sample188	5
sample189	6
sample190	3
sample191	7
sample192	7
sample193	2
sample194	4
sample195	3
sample196	2
sample197	7
sample198	7
sample199	7
sample200	5
sample201	6
sample202	2
sample203	4
sample204	1
sample205	1
sample206	6
sample207	1
sample208	8
sample209	5
sample210	7
sample211	4
sample212	2
sample213	4
sample214	1
sample215	4
sample216	3
sample217	5
sample218	5
sample219	7
sample220	3
sample221	9
sample222	2
sample223	6
sample224	4
sample225	5
sample226	8
sample227	5
sample228	7
sample229	3
sample230	5
sample231	8
sample232	7
sample233	5
sample234	9
sample235	8
sample236	5
sample237	7
sample238	8
sample239	5
sample240	9
sample241	9
sample242	2
sample243	2
sample244	5
sample245	1
sample246	6
sample247	7
sample248	1
sample249	7
sample250	6
sample251	3
sample252	7
sample253	4
sample254	8
sample255	1
sample256	2
sample257	6
sample258	1
sample259	8
sample260	6
sample261	7
sample262	4
sample263	4
sample264	4
sample265	5
sample266	9
sample267	5
sample268	1
sample269	5
sample270	6
sample271	8
sample272	3
sample273	5
sample274	1
sample275	4
sample276	7
sample277	1
sample278	9
sample279	5
sample280	1
sample281	6
sample282	3
sample283	6
sample284	5
sample285	1
sample286	8
sample287	5
sample288	2
sample289	1
