sample-id	md
sample1	3
sample2	5
sample3	9
sample4	2
sample5	7
sample6	8
sample7	2
sample8	6
sample9	9
sample10	4
sample11	4
sample12	8
sample13	3
sample14	8
sample15	5
sample16	4
sample17	6
sample18	5
sample19	8
sample20	7
sample21	8
sample22	1
sample23	3
sample24	4
sample25	8
sample26	8
sample27	6
sample28	9
sample29	3
sample30	5
sample31	7
sample32	7
sample33	6
sample34	9
sample35	6
sample36	5
sample37	3
sample38	5
sample39	8
sample40	7
sample41	3
sample42	4
sample43	5
sample44	3
sample45	1
sample46	9
sample47	3
sample48	8
sample49	3
sample50	5
sample51	4
sample52	1
sample53	2
sample54	1
sample55	1
sample56	2
sample57	2
sample58	9
sample59	4
sample60	4
sample61	2
sample62	6
sample63	9
sample64	7
sample65	6
sample66	8
sample67	6
sample68	7
sample69	2
sample70	9
sample71	9
sample72	5
sample73	9
sample74	1
sample75	7
sample76	9
sample77	3
sample78	4
sample79	2
sample80	9
sample81	9
sample82	6
sample83	6
sample84	6
sample85	4
sample86	6
sample87	2
sample88	2
sample89	4
sample90	3
sample91	5
sample92	4
sample93	8
sample94	4
sample95	8
sample96	4
sample97	9
sample98	2
sample99	2
sample100	1
sample101	4
sample102	4
sample103	9
sample104	4
sample105	1
sample106	5
sample107	8
sample108	2
sample109	7
sample110	9
sample111	2
sample112	7
sample113	6
sample114	9
sample115	9
sample116	7
sample117	7
sample118	8
sample119	8
sample120	3
sample121	2
sample122	9
sample123	3
sample124	7
sample125	9
sample126	4
sample127	6
sample128	5
sample129	8
sample130	9
sample131	2
sample132	1
sample133	8
sample134	9
sample135	6
sample136	9
sample137	2
sample138	3
sample139	9
sample140	2
sample141	1
sample142	1
sample143	1
sample144	8
sample145	7
sample146	6
sample147	5
sample148	2
sample149	2
sample150	6
sample151	5
sample152	4
sample153	9
sample154	3
sample155	9
sample156	3
sample157	5
sample158	3
sample159	9
sample160	5
sample161	5
sample162	3
sample163	4
sample164	2
sample165	5
sample166	1
sample167	8
sample168	2
sample169	4
sample170	7
sample171	9
sample172	3
sample173	7
sample174	1
sample175	8
sample176	1
sample177	2
sample178	8
sample179	9
sample180	1
sample181	7
sample182	4
sample183	3
sample184	1
sample185	5
sample186	3
sample187	9
sample188	9
sample189	3
sample190	2
sample191	9
sample192	6
sample193	9
sample194	6
sample195	5
sample196	3
sample197	3
sample198	4
sample199	9
sample200	6
sample201	8
sample202	3
sample203	3
sample204	4
sample205	3
sample206	5
sample207	4
sample208	3
sample209	2
sample210	6
sample211	2
sample212	8
sample213	1
sample214	1
sample215	2
sample216	1
sample217	3
sample218	4
sample219	7
sample220	9
sample221	8
sample222	3
sample223	6
sample224	5
sample225	3
sample226	9
sample227	1
sample228	4
sample229	5
sample230	1
sample231	6
sample232	5
sample233	9
sample234	4
sample235	9
sample236	7
sample237	1
sample238	4
sample239	3
sample240	7
sample241	3
sample242	3
sample243	1
sample244	6
sample245	1
sample246	9
sample247	5
sample248	2
sample249	3
sample250	3
sample251	4
sample252	1
sample253	1
sample254	7
sample255	1
sample256	1
sample257	6
sample258	1
sample259	8
sample260	1
sample261	6
sample262	2
sample263	7
sample264	1
sample265	8
sample266	1
sample267	2
sample268	8
sample269	6
sample270	4
sample271	1
sample272	5
sample273	7
sample274	1
sample275	2
sample276	9
sample277	6
sample278	1
sample279	6
sample280	7
sample281	3
sample282	4
sample283	3
sample284	1
sample285	2
sample286	6
sample287	7
sample288	2
sample289	2
