sample-id	md
sample1	9
sample2	3
sample3	8
sample4	8
sample5	4
sample6	9
sample7	9
sample8	6
sample9	1
sample10	2
sample11	3
sample12	8
sample13	4
sample14	5
sample15	2
sample16	9
sample17	8
sample18	7
sample19	3
sample20	4
sample21	4
sample22	3
sample23	7
sample24	3
sample25	1
sample26	6
sample27	8
sample28	6
sample29	7
sample30	6
sample31	3
sample32	8
sample33	8
sample34	1
sample35	2
sample36	6
sample37	9
sample38	4
sample39	5
sample40	2
sample41	2
sample42	2
sample43	5
sample44	3
sample45	5
sample46	4
sample47	9
sample48	7
sample49	3
sample50	4
sample51	4
sample52	9
sample53	8
sample54	7
sample55	9
sample56	6
sample57	5
sample58	9
sample59	5
sample60	4
sample61	4
sample62	7
sample63	3
sample64	8
sample65	6
sample66	8
sample67	9
sample68	4
sample69	6
sample70	6
sample71	6
sample72	9
sample73	5
sample74	9
sample75	1
sample76	8
sample77	3
sample78	9
sample79	5
sample80	5
sample81	6
sample82	8
sample83	2
sample84	5
sample85	5
sample86	5
sample87	2
sample88	2
sample89	3
sample90	2
sample91	9
sample92	8
sample93	7
sample94	9
sample95	1
sample96	8
sample97	2
sample98	9
sample99	6
sample100	1
sample101	1
sample102	4
sample103	8
sample104	8
sample105	2
sample106	1
sample107	9
sample108	1
sample109	3
sample110	1
sample111	5
sample112	2
sample113	5
sample114	6
sample115	1
sample116	5
sample117	5
sample118	6
sample119	9
sample120	4
sample121	2
sample122	8
sample123	2
sample124	8
sample125	8
sample126	2
sample127	8
sample128	9
sample129	2
sample130	3
sample131	9
sample132	8
sample133	4
sample134	3
sample135	5
sample136	5
sample137	6
sample138	2
sample139	6
sample140	6
sample141	1
sample142	6
sample143	8
sample144	3
sample145	3
sample146	6
sample147	2
sample148	6
sample149	6
sample150	7
sample151	2
sample152	1
sample153	1
sample154	1
sample155	7
sample156	1
sample157	7
sample158	9
sample159	5
sample160	6
sample161	8
sample162	4
sample163	5
sample164	5
sample165	3
sample166	7
sample167	7
sample168	6
sample169	3
sample170	8
sample171	5
sample172	8
sample173	3
sample174	7
sample175	8
sample176	2
sample177	5
sample178	5
sample179	8
sample180	1
sample181	6
sample182	9
sample183	4
sample184	8
sample185	7
sample186	3
sample187	8
sample188	4
sample189	4
sample190	7
sample191	4
sample192	9
sample193	2
sample194	4
sample195	7
sample196	2
sample197	4
sample198	4
sample199	9
sample200	9
sample201	1
sample202	4
sample203	8
sample204	4
sample205	3
sample206	6
sample207	9
sample208	4
sample209	6
sample210	3
sample211	2
sample212	3
sample213	5
sample214	9
sample215	1
sample216	3
sample217	1
sample218	4
sample219	8
sample220	5
sample221	3
sample222	1
sample223	1
sample224	6
sample225	4
sample226	8
sample227	8
sample228	9
sample229	6
sample230	3
sample231	4
sample232	2
sample233	5
sample234	3
sample235	6
sample236	4
sample237	9
sample238	9
sample239	1
sample240	9
sample241	9
sample242	9
sample243	8
sample244	8
sample245	8
sample246	2
sample247	8
sample248	4
sample249	3
sample250	1
sample251	9
sample252	6
sample253	9
sample254	1
sample255	5
sample256	7
sample257	5
sample258	7
sample259	1
sample260	1
sample261	8
sample262	5
sample263	9
sample264	8
sample265	3
sample266	3
sample267	5
sample268	3
sample269	6
sample270	6
sample271	5
sample272	1
sample273	9
sample274	7
sample275	4
sample276	7
sample277	5
sample278	2
sample279	6
sample280	8
sample281	3
sample282	7
sample283	9
sample284	2
sample285	2
sample286	9
sample287	6
sample288	7
sample289	1
