sample-id	md
sample1	6
sample2	3
sample3	9
sample4	5
sample5	2
sample6	2
sample7	8
sample8	3
sample9	8
sample10	1
sample11	9
sample12	8
sample13	2
sample14	2
sample15	3
sample16	1
sample17	7
sample18	4
sample19	3
sample20	1
sample21	2
sample22	6
sample23	5
sample24	2
sample25	9
sample26	6
sample27	4
sample28	7
sample29	8
sample30	8
sample31	3
sample32	7
sample33	1
sample34	6
sample35	2
sample36	2
sample37	9
sample38	3
sample39	7
sample40	6
sample41	6
sample42	3
sample43	9
sample44	6
sample45	4
sample46	9
sample47	7
sample48	8
sample49	8
sample50	4
sample51	5
sample52	6
sample53	8
sample54	7
sample55	7
sample56	9
sample57	2
sample58	7
sample59	6
sample60	8
sample61	3
sample62	4
sample63	5
sample64	6
sample65	6
sample66	2
sample67	8
sample68	3
sample69	8
sample70	5
sample71	2
sample72	4
sample73	3
sample74	9
sample75	9
sample76	1
sample77	5
sample78	2
sample79	2
sample80	3
sample81	4
sample82	7
sample83	4
sample84	3
sample85	6
sample86	3
sample87	1
sample88	2
sample89	4
sample90	8
sample91	4
sample92	8
sample93	9
sample94	4
sample95	3
sample96	5
sample97	6
sample98	2
sample99	5
sample100	1
sample101	3
sample102	5
sample103	2
sample104	8
sample105	1
sample106	2
sample107	4
sample108	2
sample109	9
sample110	5
sample111	5
sample112	4
sample113	1
sample114	2
sample115	1
sample116	9
sample117	6
sample118	7
sample119	1
sample120	6
sample121	2
sample122	6
sample123	6
sample124	6
sample125	1
sample126	3
sample127	3
sample128	6
sample129	6
sample130	4
sample131	3
sample132	9
sample133	2
sample134	3
sample135	8
sample136	7
sample137	3
sample138	8
sample139	8
sample140	2
sample141	5
sample142	7
sample143	7
sample144	3
sample145	4
sample146	2
sample147	6
sample148	7
sample149	8
sample150	8
sample151	7
sample152	3
sample153	9
sample154	6
sample155	7
sample156	2
sample157	8
sample158	3
sample159	4
sample160	1
sample161	4
sample162	8
sample163	9
sample164	2
sample165	9
sample166	7
sample167	4
sample168	9
sample169	8
sample170	1
sample171	3
sample172	6
sample173	4
sample174	6
sample175	7
sample176	6
sample177	8
sample178	4
sample179	3
sample180	8
sample181	2
sample182	7
sample183	6
sample184	1
sample185	4
sample186	5
sample187	1
sample188	5
sample189	3
sample190	4
sample191	7
sample192	9
sample193	2
sample194	7
sample195	3
sample196	9
sample197	6
sample198	3
sample199	1
sample200	2
sample201	9
sample202	1
sample203	4
sample204	3
sample205	7
sample206	9
sample207	6
sample208	3
sample209	8
sample210	8
sample211	6
sample212	5
sample213	7
sample214	9
sample215	7
sample216	2
sample217	7
sample218	8
sample219	8
sample220	5
sample221	3
sample222	7
sample223	4
sample224	1
sample225	8
sample226	1
sample227	9
sample228	2
sample229	1
sample230	9
sample231	6
sample232	2
sample233	4
sample234	4
sample235	1
sample236	6
sample237	4
sample238	1
sample239	9
sample240	8
sample241	1
sample242	1
sample243	1
sample244	5
sample245	5
sample246	8
sample247	1
sample248	5
sample249	5
sample250	2
sample251	5
sample252	7
sample253	1
sample254	4
sample255	2
sample256	3
sample257	9
sample258	2
sample259	1
sample260	6
sample261	5
sample262	3
sample263	9
sample264	5
sample265	4
sample266	9
sample267	7
sample268	5
sample269	5
sample270	6
sample271	4
sample272	8
sample273	9
sample274	6
sample275	9
sample276	2
sample277	2
sample278	8
sample279	2
sample280	7
sample281	1
sample282	9
sample283	9
sample284	2
sample285	2
sample286	1
sample287	8
sample288	5
sample289	6
