sample-id	md
sample1	1
sample2	9
sample3	1
sample4	1
sample5	6
sample6	3
sample7	3
sample8	9
sample9	7
sample10	1
sample11	8
sample12	8
sample13	5
sample14	3
sample15	1
sample16	7
sample17	6
sample18	3
sample19	7
sample20	4
sample21	5
sample22	8
sample23	3
sample24	7
sample25	1
sample26	7
sample27	1
sample28	5
sample29	3
sample30	9
sample31	6
sample32	7
sample33	4
sample34	6
sample35	4
sample36	4
sample37	5
sample38	6
sample39	3
sample40	8
sample41	1
sample42	1
sample43	6
sample44	5
sample45	3
sample46	4
sample47	9
sample48	1
sample49	9
sample50	8
sample51	1
sample52	1
sample53	8
sample54	7
sample55	7
sample56	2
sample57	1
sample58	1
sample59	5
sample60	3
sample61	9
sample62	7
sample63	2
sample64	1
sample65	5
sample66	1
sample67	8
sample68	3
sample69	7
sample70	4
sample71	2
sample72	5
sample73	9
sample74	3
sample75	8
sample76	7
sample77	1
sample78	6
sample79	6
sample80	5
sample81	2
sample82	6
sample83	4
sample84	2
sample85	1
sample86	8
sample87	9
sample88	4
sample89	6
sample90	5
sample91	3
sample92	6
sample93	8
sample94	5
sample95	7
sample96	6
sample97	5
sample98	8
sample99	9
sample100	4
sample101	9
sample102	8
sample103	8
sample104	9
sample105	5
sample106	5
sample107	8
sample108	2
sample109	8
sample110	9
sample111	5
sample112	3
sample113	7
sample114	4
sample115	1
sample116	7
sample117	5
sample118	1
sample119	1
sample120	8
sample121	3
sample122	2
sample123	1
sample124	7
sample125	6
sample126	6
sample127	6
sample128	7
sample129	5
sample130	6
sample131	8
sample132	7
sample133	8
sample134	5
sample135	4
sample136	3
sample137	6
sample138	7
sample139	2
sample140	7
sample141	8
sample142	6
sample143	2
sample144	2
sample145	5
sample146	3
sample147	8
sample148	6
sample149	9
sample150	3
sample151	6
sample152	9
sample153	5
sample154	9
sample155	2
sample156	6
sample157	4
sample158	9
sample159	3
sample160	2
sample161	9
sample162	9
sample163	9
sample164	1
sample165	1
sample166	6
sample167	5
sample168	8
sample169	4
sample170	6
sample171	4
sample172	9
sample173	3
sample174	3
sample175	9
sample176	8
sample177	5
sample178	3
sample179	9
sample180	8
sample181	2
sample182	4
sample183	5
sample184	6
sample185	8
sample186	6
sample187	3
sample188	7
sample189	1
sample190	8
sample191	5
sample192	2
sample193	6
sample194	2
sample195	1
sample196	4
sample197	7
sample198	6
sample199	8
sample200	8
sample201	8
sample202	2
sample203	5
sample204	4
sample205	5
sample206	4
sample207	6
sample208	7
sample209	4
sample210	8
sample211	1
sample212	5
sample213	3
sample214	7
sample215	2
sample216	4
sample217	9
sample218	7
sample219	5
sample220	2
sample221	4
sample222	8
sample223	5
sample224	3
sample225	2
sample226	8
sample227	2
sample228	3
sample229	1
sample230	1
sample231	4
sample232	8
sample233	2
sample234	7
sample235	3
sample236	6
sample237	9
sample238	3
sample239	7
sample240	1
sample241	5
sample242	4
sample243	9
sample244	5
sample245	3
sample246	8
sample247	2
sample248	9
sample249	6
sample250	1
sample251	1
sample252	7
sample253	3
sample254	7
sample255	9
sample256	1
sample257	7
sample258	6
sample259	4
sample260	7
sample261	3
sample262	2
sample263	8
sample264	6
sample265	3
sample266	7
sample267	1
sample268	9
sample269	4
sample270	5
sample271	2
sample272	7
sample273	9
sample274	3
sample275	1
sample276	2
sample277	5
sample278	3
sample279	8
sample280	3
sample281	5
sample282	9
sample283	2
sample284	6
sample285	9
sample286	2
sample287	8
sample288	2
sample289	9
