sample-id	md
sample1	7
sample2	2
sample3	4
sample4	1
sample5	8
sample6	8
sample7	6
sample8	5
sample9	4
sample10	7
sample11	8
sample12	7
sample13	8
sample14	8
sample15	2
sample16	2
sample17	4
sample18	7
sample19	3
sample20	2
sample21	6
sample22	9
sample23	5
sample24	4
sample25	4
sample26	6
sample27	3
sample28	9
sample29	8
sample30	8
sample31	4
sample32	3
sample33	5
sample34	9
sample35	6
sample36	2
sample37	9
sample38	5
sample39	4
sample40	2
sample41	3
sample42	6
sample43	2
sample44	4
sample45	8
sample46	9
sample47	1
sample48	5
sample49	9
sample50	1
sample51	5
sample52	4
sample53	5
sample54	7
sample55	5
sample56	6
sample57	6
sample58	5
sample59	9
sample60	7
sample61	5
sample62	5
sample63	4
sample64	2
sample65	9
sample66	5
sample67	2
sample68	8
sample69	2
sample70	6
sample71	5
sample72	7
sample73	6
sample74	4
sample75	1
sample76	5
sample77	9
sample78	5
sample79	1
sample80	7
sample81	6
sample82	5
sample83	2
sample84	3
sample85	3
sample86	7
sample87	4
sample88	1
sample89	1
sample90	1
sample91	5
sample92	5
sample93	9
sample94	2
sample95	7
sample96	5
sample97	8
sample98	6
sample99	8
sample100	3
sample101	9
sample102	5
sample103	2
sample104	5
sample105	7
sample106	7
sample107	6
sample108	8
sample109	5
sample110	9
sample111	4
sample112	4
sample113	5
sample114	1
sample115	5
sample116	1
sample117	2
sample118	3
sample119	7
sample120	2
sample121	8
sample122	6
sample123	6
sample124	8
sample125	2
sample126	5
sample127	7
sample128	3
sample129	7
sample130	6
sample131	8
sample132	8
sample133	4
sample134	9
sample135	3
sample136	4
sample137	8
sample138	1
sample139	5
sample140	6
sample141	7
sample142	1
sample143	6
sample144	6
sample145	5
sample146	7
sample147	2
sample148	6
sample149	7
sample150	9
sample151	7
sample152	9
sample153	2
sample154	8
sample155	8
sample156	7
sample157	4
sample158	4
sample159	5
sample160	2
sample161	5
sample162	3
sample163	6
sample164	5
sample165	8
sample166	9
sample167	9
sample168	5
sample169	7
sample170	9
sample171	9
sample172	3
sample173	1
sample174	7
sample175	9
sample176	2
sample177	9
sample178	7
sample179	9
sample180	4
sample181	5
sample182	7
sample183	6
sample184	6
sample185	1
sample186	8
sample187	2
sample188	6
sample189	1
sample190	1
sample191	7
sample192	8
sample193	3
sample194	9
sample195	4
sample196	2
sample197	6
sample198	9
sample199	1
sample200	2
sample201	8
sample202	3
sample203	4
sample204	8
sample205	4
sample206	7
sample207	9
sample208	3
sample209	1
sample210	1
sample211	7
sample212	9
sample213	9
sample214	6
sample215	4
sample216	8
sample217	9
sample218	1
sample219	1
sample220	6
sample221	2
sample222	6
sample223	3
sample224	8
sample225	9
sample226	6
sample227	6
sample228	2
sample229	7
sample230	2
sample231	4
sample232	9
sample233	7
sample234	9
sample235	5
sample236	1
sample237	7
sample238	1
sample239	5
sample240	1
sample241	5
sample242	7
sample243	3
sample244	5
sample245	2
sample246	8
sample247	8
sample248	8
sample249	8
sample250	8
sample251	7
sample252	7
sample253	3
sample254	8
sample255	3
sample256	8
sample257	9
sample258	6
sample259	7
sample260	9
sample261	5
sample262	3
sample263	1
sample264	5
sample265	1
sample266	8
sample267	4
sample268	7
sample269	5
sample270	7
sample271	5
sample272	2
sample273	9
sample274	2
sample275	9
sample276	8
sample277	1
sample278	4
sample279	8
sample280	2
sample281	8
sample282	6
sample283	8
sample284	6
sample285	3
sample286	1
sample287	4
sample288	5
sample289	2
