sample-id	md
sample1	4
sample2	2
sample3	4
sample4	6
sample5	7
sample6	6
sample7	4
sample8	9
sample9	1
sample10	4
sample11	9
sample12	9
sample13	8
sample14	8
sample15	3
sample16	1
sample17	5
sample18	6
sample19	6
sample20	4
sample21	5
sample22	8
sample23	4
sample24	7
sample25	5
sample26	4
sample27	5
sample28	4
sample29	7
sample30	5
sample31	7
sample32	3
sample33	1
sample34	9
sample35	2
sample36	4
sample37	9
sample38	8
sample39	7
sample40	2
sample41	3
sample42	6
sample43	4
sample44	3
sample45	4
sample46	4
sample47	1
sample48	6
sample49	2
sample50	2
sample51	1
sample52	6
sample53	9
sample54	1
sample55	4
sample56	1
sample57	6
sample58	5
sample59	3
sample60	5
sample61	6
sample62	2
sample63	5
sample64	3
sample65	6
sample66	4
sample67	8
sample68	7
sample69	7
sample70	9
sample71	2
sample72	7
sample73	5
sample74	4
sample75	9
sample76	6
sample77	3
sample78	3
sample79	6
sample80	7
sample81	9
sample82	5
sample83	2
sample84	2
sample85	2
sample86	3
sample87	4
sample88	7
sample89	3
sample90	8
sample91	2
sample92	4
sample93	1
sample94	2
sample95	5
sample96	6
sample97	5
sample98	2
sample99	7
sample100	2
sample101	2
sample102	6
sample103	3
sample104	4
sample105	2
sample106	4
sample107	9
sample108	9
sample109	7
sample110	8
sample111	9
sample112	9
sample113	6
sample114	5
sample115	4
sample116	8
sample117	3
sample118	5
sample119	5
sample120	3
sample121	2
sample122	5
sample123	5
sample124	9
sample125	3
sample126	2
sample127	1
sample128	7
sample129	2
sample130	3
sample131	8
sample132	4
sample133	8
sample134	9
sample135	3
sample136	4
sample137	3
sample138	7
sample139	5
sample140	8
sample141	5
sample142	9
sample143	6
sample144	4
sample145	6
sample146	3
sample147	2
sample148	4
sample149	5
sample150	6
sample151	4
sample152	1
sample153	8
sample154	1
sample155	1
sample156	5
sample157	7
sample158	5
sample159	5
sample160	6
sample161	5
sample162	3
sample163	7
sample164	6
sample165	1
sample166	8
sample167	9
sample168	3
sample169	9
sample170	2
sample171	2
sample172	5
sample173	8
sample174	5
sample175	4
sample176	6
sample177	5
sample178	3
sample179	6
sample180	8
sample181	9
sample182	2
sample183	7
sample184	7
sample185	8
sample186	4
sample187	2
sample188	4
sample189	3
sample190	9
sample191	2
sample192	4
sample193	5
sample194	7
sample195	9
sample196	3
sample197	3
sample198	8
sample199	1
sample200	3
sample201	6
sample202	5
sample203	7
sample204	3
sample205	8
sample206	9
sample207	6
sample208	7
sample209	8
sample210	5
sample211	6
sample212	7
sample213	5
sample214	2
sample215	7
sample216	6
sample217	8
sample218	3
sample219	3
sample220	6
sample221	2
sample222	2
sample223	7
sample224	6
sample225	1
sample226	8
sample227	6
sample228	9
sample229	3
sample230	6
sample231	8
sample232	9
sample233	2
sample234	7
sample235	1
sample236	2
sample237	5
sample238	2
sample239	8
sample240	2
sample241	9
sample242	5
sample243	2
sample244	4
sample245	8
sample246	4
sample247	1
sample248	9
sample249	3
sample250	1
sample251	9
sample252	8
sample253	1
sample254	9
sample255	1
sample256	3
sample257	1
sample258	7
sample259	6
sample260	8
sample261	6
sample262	2
sample263	8
sample264	7
sample265	8
sample266	1
sample267	3
sample268	6
sample269	4
sample270	7
sample271	8
sample272	6
sample273	3
sample274	8
sample275	3
sample276	2
sample277	7
sample278	9
sample279	8
sample280	7
sample281	5
sample282	6
sample283	3
sample284	2
sample285	6
sample286	6
sample287	8
sample288	3
sample289	8
