#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100	sample101	sample102	sample103	sample104	sample105	sample106	sample107	sample108	sample109	sample110	sample111	sample112	sample113	sample114	sample115	sample116	sample117	sample118	sample119	sample120	sample121	sample122	sample123	sample124	sample125	sample126	sample127	sample128	sample129	sample130	sample131	sample132	sample133	sample134	sample135	sample136	sample137	sample138	sample139	sample140	sample141	sample142	sample143	sample144	sample145	sample146	sample147	sample148	sample149	sample150	sample151	sample152	sample153	sample154	sample155	sample156	sample157	sample158	sample159	sample160	sample161	sample162	sample163	sample164	sample165	sample166	sample167	sample168	sample169	sample170	sample171	sample172	sample173	sample174	sample175	sample176	sample177	sample178	sample179	sample180	sample181	sample182	sample183	sample184	sample185	sample186	sample187	sample188	sample189	sample190	sample191	sample192	sample193	sample194	sample195	sample196	sample197	sample198	sample199	sample200
sp1	129913	8451	79837	130003	138816	105916	54569	139054	118313	57585	193761	127377	75219	25163	110283	101766	130595	166998	27384	142813	45632	64996	13097	119408	10773	161708	61736	27805	72759	159099	177861	96454	38413	64575	69413	38164	17520	114481	90270	153391	126982	189002	21037	117183	122567	160766	19777	15598	125547	195950	180013	184159	27367	127566	172938	5176	138016	23407	125844	170249	182163	90565	187807	156515	97001	79905	187897	38089	163625	163008	174840	36714	62242	59643	193529	99530	14042	26906	5447	80022	170349	85394	121149	131650	86232	116191	22914	26622	157921	106900	184959	158368	112974	27048	190549	3290	138217	97704	132654	12504	177623	49320	167028	23380	33510	38136	81433	63363	146700	98095	75722	140955	96060	79385	12129	2463	125597	24623	13414	39683	86557	94881	35239	76216	167474	98095	113702	153664	27060	189656	49989	26998	84971	156317	179535	50282	141168	13082	35885	114573	54296	63019	4465	82773	64357	145063	165587	160233	179819	17540	36239	159382	120569	28762	40510	34318	97933	87898	105550	34795	79995	195097	78193	129467	44972	118588	20630	91506	179454	178103	44997	34632	83249	163505	4076	120531	151020	160639	25131	193201	150187	57389	125454	135531	91385	171069	38917	193766	87131	17393	144606	20157	199634	115091	134838	191830	195481	2693	109785	28595
sp2	102968	12169	135629	45932	184172	41061	86327	153500	16429	81980	35352	136737	203289	165625	126767	126660	196864	146171	38616	25507	6998	61884	193680	165161	45011	38784	100902	198771	96770	48725	130252	192873	146087	70570	44762	23633	188640	95416	191185	188758	183363	34286	12497	181385	69138	199430	162295	120687	29201	21525	18677	3092	17755	113156	92148	115952	127718	65818	105406	175405	10733	113838	112982	98182	75736	120845	47067	159298	173497	148483	37296	25947	126655	29322	54132	121029	196023	17418	61916	86064	116713	168904	151612	169076	168174	190038	107793	41990	156561	185765	172776	152724	141634	103038	31367	95492	158415	101620	193592	70623	150171	61054	59972	187651	166182	189863	180826	32680	101195	81199	150993	105608	144504	67337	13493	29578	138690	97873	3253	205636	72594	43428	59575	98916	198190	191506	190296	78684	130034	58787	173083	121358	102412	179213	41139	66071	160261	183402	18143	115863	198357	141191	203678	112425	110656	132431	153125	137071	191516	173801	106403	61218	127613	114980	185428	76224	95080	146738	199239	182467	79616	130604	36680	165810	134451	48932	36635	53737	71094	188802	129117	55645	24106	73070	3427	20458	58104	76674	111910	157566	94958	50127	67916	32211	184612	78064	164065	10094	37737	193297	75249	125782	162618	83218	64736	6117	35022	107296	143927	130997
sp3	154834	161837	149966	16270	2367	183116	115945	174758	128089	31569	170235	36623	66157	161584	26512	94107	93480	3497	171637	74737	178108	80377	95963	22824	112753	140263	58407	10409	50441	34613	4293	85318	181553	30093	37942	127355	162910	141757	51577	193156	28240	2542	73178	77795	138130	132879	70075	128130	82077	196611	33532	150197	31073	71704	95012	164630	114468	113005	123643	2572	76273	189599	177077	63268	129533	69994	57191	154888	39403	28671	73060	42680	94412	3237	156596	127309	124262	5267	158761	133111	2757	145514	20833	152540	121530	67269	99273	101853	63053	4449	193435	117470	48843	94999	176802	47604	138217	36496	42026	56795	5689	4190	125661	122382	40753	133008	93398	181211	158692	109158	151604	59268	138860	31159	175360	135837	108869	157634	158610	130271	145529	113175	18016	53865	68899	97460	144234	166541	161917	35333	196375	25920	31732	34973	142752	193233	154850	74165	167225	78998	148831	72755	2501	71898	198866	154649	22830	190309	11414	42888	95978	59155	74674	148736	117676	88617	113687	150470	155685	47545	150187	107416	38911	126317	124659	40987	147373	129190	164707	142117	38895	142264	64724	11842	112270	62811	119950	79675	161360	78310	181645	8547	100963	68289	168623	74312	50614	41427	13154	142486	64600	72009	81477	31599	156325	8326	115096	150818	24164	44791
sp4	119966	184402	26614	135685	31561	157095	136577	41451	99712	96120	128919	170221	150008	41130	168057	168376	13943	73908	53947	84008	101375	191660	64660	103721	135959	108751	136237	153071	63577	38300	192377	128387	29371	52122	190714	59953	40139	48209	122662	167330	56169	112022	108997	99388	165901	132919	189768	181925	116484	93943	70276	148462	187819	2465	193789	69013	118441	3267	183227	190084	131746	111418	122761	115239	5479	120747	66395	5744	182520	180014	164855	64611	28819	85730	153963	185103	173302	187461	172695	142893	69289	112043	50581	145589	191399	171408	117978	87458	71147	115696	80888	177632	53682	23237	137519	13940	65302	30947	162388	89117	189858	87575	58926	184801	73973	53419	110064	183116	196400	193818	81527	70859	113862	156294	7835	183739	130728	116526	93805	106519	3319	157219	66547	144001	175013	81735	23242	84067	74844	9596	3136	90125	89926	6693	59861	121127	153450	76702	140688	14556	80176	75127	91809	32624	40083	13023	167799	168826	174095	195809	66190	79444	54759	174072	11023	14093	160431	3429	110370	85490	138118	32047	122329	182716	48861	67569	84146	15871	164701	126734	54475	78084	115005	103412	183712	22483	59807	155415	153203	140273	27045	111420	182479	118780	180215	141175	109465	16686	199068	31257	49334	174772	189919	160910	143166	14518	33184	145428	22564	6043
sp5	167652	177172	2240	166401	71275	24025	130214	59427	14091	54383	20026	171563	66476	24782	88439	26479	147241	147105	102821	133795	40421	11569	49222	149077	10056	87890	122657	62166	182703	25491	113926	162943	94282	177647	195134	199685	15459	153330	159402	191908	72798	171526	54891	179789	127744	65399	190626	126893	124162	115758	116930	191724	134524	92823	43952	94203	70600	82522	116101	76066	5256	85445	37661	74648	192381	132273	96599	142309	17126	147701	160169	133110	156959	14303	110555	71608	147628	121899	56796	28477	83000	38601	155465	74192	119168	62578	10450	44988	87284	74523	22609	128212	183055	129226	177641	124833	199954	81477	135550	120982	194276	59686	127839	148883	17887	199691	86213	76442	15583	142432	177061	44573	53798	44027	37077	55608	141507	44160	196303	198988	150695	58463	20686	101525	103105	105690	50910	75226	152446	17058	3569	149143	117683	88638	159227	155067	3949	108176	198436	141630	46310	167049	14455	107769	10816	152189	62629	144307	85006	39795	130006	145198	140959	174889	20480	53089	54033	66005	177402	104483	86416	138638	106612	39388	13043	142186	112809	77386	7106	65687	154266	90548	153039	163596	160740	135202	166736	104222	168535	34531	118754	134055	2928	157332	179247	81419	141591	139188	179598	192644	96292	116371	189765	80889	76472	98861	77531	154767	181050	14921
sp6	17701	112558	148692	119385	31008	37487	58800	82533	135737	4757	48405	7930	142321	127822	63791	101366	55025	191764	68915	36338	192072	20720	17022	170926	31180	45139	62288	144419	3658	39699	20051	165152	105340	185871	108260	55971	132855	68443	149943	96819	24298	61466	193450	73512	60307	175133	28126	85799	126888	26352	145630	68056	15907	11922	92750	153549	106137	16666	33841	73175	17972	19813	177972	6366	75964	68391	17647	163789	184080	148686	90999	80887	48561	177409	52217	167745	199701	114376	115126	14644	66361	140166	117923	31749	43691	115630	79720	73772	118311	115103	2611	106430	83657	81337	34259	186693	108239	143022	191135	131828	14770	20731	96448	79002	49613	58923	186526	127809	79706	39746	18068	71125	106491	109055	36007	35892	68768	5323	83722	151458	148953	168757	40118	192766	41141	55348	134809	197173	140022	18065	192683	193034	35957	79415	54279	19488	43891	98396	155456	115401	80869	86223	35938	190776	106969	179532	65750	136772	55815	141152	173380	52608	73511	76291	26007	129476	82578	133210	113229	142398	182875	140832	62906	65119	121198	48702	34399	85953	174382	176074	142068	138852	66021	190479	177066	194723	183740	182021	180445	46252	31682	148310	180216	126671	91139	71298	25998	188855	9117	108372	32972	8386	90999	65970	131614	51169	121291	183986	61581	181092
sp7	0	130882	0	8858	0	6264	68085	0	2	98344	0	3984	62598	16880	7	43078	0	0	31187	58317	3129	0	43759	0	147811	0	97782	111456	0	0	0	0	22833	0	34884	142787	158614	0	68735	2	0	0	67972	69638	0	0	14557	146702	0	0	0	0	38634	33813	0	61833	0	135258	59793	570	15913	0	0	0	30932	83154	0	111951	0	0	25896	149011	90311	6591	0	0	230	158030	44058	18327	0	2726	0	0	2919	43618	39019	157692	1671	0	0	13	0	164706	0	188284	0	0	0	54547	0	33862	0	166	139807	68993	6	30203	7292	13	0	0	0	0	65372	63238	63527	3	156459	105205	101471	49691	11216	99362	1455	79476	4641	0	36860	0	78193	7504	34810	0	0	143257	34056	174947	35909	56964	37254	99776	149164	50053	92615	0	0	0	0	140398	51225	0	40620	145858	40236	0	0	44587	21458	34562	90572	0	614	0	76802	4882	23414	0	0	7398	1	29287	29785	0	35001	0	0	0	69152	941	0	98002	54271	20243	0	0	688	0	81466	49683	7	158116	0	151	0	0	0	137463	38688	4851
sp8	92300	117414	102529	74385	16264	159723	119267	8088	141608	157086	127167	153552	101883	160800	55102	44743	166912	38242	38619	123679	17965	89710	69706	157900	27788	118704	84369	58051	94791	1209	74051	142299	93521	177961	98006	113259	167628	55856	3296	85341	67378	95120	145610	81414	45604	81875	77414	149245	122934	150353	93863	1	24431	138104	93367	163559	134642	50228	132347	156059	124833	143491	32887	921	30078	75323	138688	148063	101265	11479	99467	116853	39610	8410	164978	2	168282	48906	34324	159910	48934	65794	23965	35016	122711	155388	148256	179431	9266	134801	37402	95279	173555	115006	90547	101996	65296	98432	154672	39240	112630	29077	150202	89113	127500	1	180514	94178	2747	182687	160066	35359	51713	159040	36348	151322	146016	1	5	127051	85841	135889	119306	108396	1346	36789	65872	159828	54409	30634	84621	8894	92308	92093	10	293	31228	108371	136824	54664	18263	17672	78354	115647	0	159146	127035	92621	93317	157615	126627	184313	4755	19849	140408	105048	20	7139	168301	54074	54126	77196	28970	175164	186	3981	10416	156043	27648	5	9972	62527	152911	130500	12878	149831	3	184165	4	117881	152714	90863	59744	42419	52491	104317	91050	58020	179437	105286	22221	56157	40427	42869	3094	6278	18141	377	53043	137320
sp9	83107	192243	156316	49996	58481	17525	133654	98224	59823	26518	26981	34271	31236	175276	14356	40030	28467	174069	33019	178996	38424	175794	10692	4873	111903	190977	69408	197819	76576	136670	90575	161423	79194	103013	183064	182240	83062	195432	159785	60545	152183	11889	62902	142059	16090	112096	115491	193618	56600	9174	180974	3097	93527	189944	54338	165709	140614	3224	11948	69264	40669	87370	47137	5343	141316	59879	20151	119846	104395	179161	157316	121257	83243	114429	66194	180598	122071	78300	37501	198809	99752	25003	66701	22182	174409	88895	145853	66760	159611	146295	56527	107572	191363	106788	111095	131358	66515	107928	83545	15095	35881	83239	76990	60242	40153	160017	162687	87455	78720	36031	62254	40289	70300	174968	149096	43633	73557	113991	64602	20795	118363	107792	146865	50981	109311	13527	185585	135288	141244	9930	79061	167162	11704	167445	20511	72893	168782	47900	199947	38722	19893	51804	163441	38367	196103	23722	126988	134265	82608	50660	137720	75918	116686	133659	31682	140031	86686	182188	68850	93319	106597	39998	196324	122820	86156	90145	92697	122466	3622	148820	55111	155529	45412	185164	132203	133335	130322	109365	194813	4989	62590	158152	52257	128547	89123	15943	146965	69068	49041	173949	73505	174979	152591	11752	113840	13742	62688	163427	96658	138931
sp10	94130	0	123273	81009	33986	129710	39620	91233	126186	127909	131816	57189	23321	40041	179241	55919	13909	49435	79897	103453	4327	114166	6176	112865	0	130372	23493	48308	181357	43958	21098	28790	81260	54994	96725	0	0	139524	115712	96303	22771	118124	64295	127383	140632	18326	67534	0	38243	183220	29749	103458	0	41995	57439	39037	31953	0	122465	17731	162092	69342	160940	114962	28920	87923	198820	25491	108856	95665	161348	65859	51797	104818	174481	133284	71722	10	109355	43170	47277	63460	111513	30248	112655	71116	30423	0	29090	178986	192504	111691	55108	0	23410	29	82859	195234	175957	69858	113304	83274	142290	141987	27938	65492	134292	3	189987	63087	154809	75285	178849	141200	120455	0	20	29543	0	55896	3760	113712	120493	52923	195223	178	6556	181620	163901	62170	0	178926	22074	17617	95508	68681	120873	0	79680	138591	76725	0	0	92	119040	5156	31875	84525	34039	0	33832	128869	22439	1836	76140	94695	116144	68707	82510	371	79	159821	158312	133400	398	145292	145364	156068	196043	41748	77868	40904	112678	108865	67505	181579	137936	128604	149221	16662	104108	0	2119	9327	82187	126988	188806	104577	461	149809	105481	52375	46987	11186	47804	189411	19209	0	144113	9907
