	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100	sp101	sp102	sp103	sp104	sp105	sp106	sp107	sp108	sp109	sp110	sp111	sp112	sp113	sp114	sp115	sp116	sp117	sp118	sp119	sp120	sp121	sp122	sp123	sp124	sp125	sp126	sp127	sp128	sp129	sp130	sp131	sp132	sp133	sp134	sp135	sp136	sp137	sp138	sp139	sp140	sp141	sp142	sp143	sp144	sp145	sp146	sp147	sp148	sp149	sp150
sp1	-0.5	0	-0.235052530483697	-0.221426490522188	-0.165328148325935	-0.311064937902347	-0.152029518977399	-0.300932972475295	0	0	-0.257547983873202	0	-0.330371401104406	0	0	-0.172308110883906	0	0	0	0	0	0	0	-0.00828670761430869	0	0	0	0	0	0	0	-0.397534315570097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728851491865027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.325291016182767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0.444691205067637	-0.5	-0.353793704597356	-0.00832485126293963	-0.357664807872949	-0.187423367790242	0	-0.119786053961723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.493267133915881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.270042553797665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.278013310486639	0	0	0	0	0	0	0	0	-0.0650150523683522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	0	-0.306632537620782	-0.5	0	0	-0.185188248209753	-0.31621914041959	0	0	0	0	0	0	0	-0.0571755973127042	0	0	0	0	-0.153645984055118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	-0.490159656455736	0	-0.181316815252563	-0.5	-0.0684847028747038	-0.048495428921429	-0.373616028464776	0	-0.254474935788717	-0.389129690797422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.353262520256832	0	0	0	0	0	0	-0.439085921292233	0	0	0	0	0	0	0	0.375369258670434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00103028398693539	0	0	0	0	0	0	0	0
sp5	0.31111556090747	-0.0625731869201735	-0.0556439792632475	-0.467729449638773	-0.5	-0.434886458987009	0.0862525506750913	-0.26482016365001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.17906487283038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.127566597639935	0	0	0	0	0	0	0	0
sp6	0	-0.0137309590419708	-0.0665828441257635	-0.304364032656359	0	-0.5	-0.177538580442551	0	-0.133707603185112	0.197038346954698	0	0	0	0	0	0	0	-0.144251160836727	0	-0.330029273793618	0	0	0.37580771889749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0578042930182302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.113476360517524	0	0	0	0	0	0	0
sp7	-0.406712108414886	0	0	0	-0.0415742392094317	0	-0.5	0	-0.0580692358368146	0	-0.258892702142105	0.42130587364295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	-0.0114660720769735	-0.459494001816106	-0.494935961790911	0	-0.350386320490914	-0.108758325822668	0	-0.5	-0.399780285190821	0	0	0	-0.473673573222028	-0.432210300166006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.264824432747308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0	-0.450074977733318	0	0	0	-0.436861503907477	-0.335490612320469	0	-0.5	-0.342089436176568	0	-0.470818694495873	-0.475510468514825	0	-0.0410010786717036	-0.164230713373739	-0.00244596528842812	0	0.468942114362824	0	0	0	-0.0217856610241602	0	-0.271107171577748	0	-0.139788434039047	0.0716581997732562	-0.300719743451583	-0.386054784528734	-0.118928501137344	0	-0.122428385844307	0	-0.131385431481437	0	-0.0914358318775729	0	0	0	0	0	-0.138239086756329	0	-0.317076976476782	-0.375514907273909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0762791473120591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	-0.482354234040265	0	0	0	-0.492047083951521	-0.262548978509237	0	0.380737338049698	-0.5	-0.0972679616209539	-0.377487399606667	0	-0.0765716504412075	0	-0.207515181917013	-0.215957295980882	-0.0172182358724973	-0.236881375119514	0	-0.468429113615474	-0.274224582092979	-0.160197344121912	0	-0.0457002899675723	-0.303950056642927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180239545359104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00931129829993937	0	0	0	0	0	0	0	0	0	-0.0159793765951227	0	0	0	0	0	0	0	0	0	0	0	0	-0.273053022564114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
