sample-id	md
sample1	7
sample2	7
sample3	7
sample4	6
sample5	9
sample6	6
sample7	3
sample8	4
sample9	4
sample10	7
sample11	6
sample12	5
sample13	8
sample14	8
sample15	9
sample16	5
sample17	4
sample18	4
sample19	9
sample20	8
sample21	7
sample22	8
sample23	2
sample24	5
sample25	8
sample26	3
sample27	8
sample28	3
sample29	3
sample30	7
sample31	5
sample32	8
sample33	2
sample34	4
sample35	6
sample36	1
sample37	5
sample38	8
sample39	4
sample40	7
sample41	9
sample42	3
sample43	4
sample44	6
sample45	3
sample46	1
sample47	8
sample48	1
sample49	4
sample50	6
sample51	3
sample52	3
sample53	4
sample54	4
sample55	7
sample56	4
sample57	7
sample58	4
sample59	9
sample60	8
sample61	2
sample62	3
sample63	7
sample64	2
sample65	8
sample66	3
sample67	3
sample68	2
sample69	5
sample70	6
sample71	7
sample72	3
sample73	7
sample74	9
sample75	3
sample76	7
sample77	6
sample78	1
sample79	9
sample80	6
sample81	5
sample82	1
sample83	9
sample84	3
sample85	1
sample86	5
sample87	7
sample88	3
sample89	2
sample90	6
sample91	5
sample92	4
sample93	5
sample94	7
sample95	2
sample96	2
sample97	3
sample98	4
sample99	4
sample100	9
