#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50
sp1	0	0	0	0	0	0	100705	0	0	6360	0	228212	85370	0	137603	177309	2	0	248713	0	191816	0	155156	15	0	125802	0	461	0	107322	202	123584	0	0	438	0	216439	0	121398	23676	199156	0	0	127508	597	127378	192584	116625	0	0
sp2	0	50732	0	118069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41132	0	0	0	0	0	58522	0	0	45547	0	0	0	0	0
sp3	0	0	66559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1224	0	0	0	0	0	138987	0	0	0	0	0	0	0	68216	0	0	0	0	0	0	0	0	0	0	0	0	106234	0
sp4	61331	0	0	0	117395	0	0	133036	0	0	2507	0	0	0	0	0	0	0	0	95391	0	0	0	0	0	116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177831	1	0	0	0	0	0	0
sp5	10644	99127	126406	86217	205575	241663	96850	84570	214696	291243	148633	53916	125575	179285	151981	104861	180774	203190	0	45437	17718	53284	86082	88678	33336	37091	232037	0	125203	85091	70705	92839	310084	226939	281268	0	0	60109	109481	295053	1211	44350	162528	86465	122470	106585	88805	103100	48340	218544
sp6	0	205335	261941	63	165266	0	0	0	273699	350704	119355	452	61767	0	0	134861	219763	295049	0	52070	42554	0	0	0	185108	0	204160	0	178301	0	0	0	186631	151416	0	144399	116693	130	0	303677	21915	60874	0	218559	159403	0	0	0	0	4425
sp7	156049	90	2903	0	77438	11771	0	291829	0	0	1245	0	181	0	0	0	0	18431	0	198372	0	208574	0	5287	113709	64476	0	48728	0	0	21	0	0	0	0	118038	72501	115723	0	0	0	0	184011	0	0	3385	0	180010	0	22336
sp8	23621	118352	57819	127322	0	55304	68513	0	165423	126180	70179	4983	0	130279	0	27611	92758	87600	790	0	38205	15613	28159	125546	116848	140110	79575	137014	137959	128957	182867	87247	22111	35274	0	112330	38047	0	40136	30583	20578	142648	0	0	125730	34061	73849	0	180022	49126
sp9	0	53930	0	0	95	56756	101980	0	39156	62118	29708	152920	0	2852	0	52804	0	94080	111108	21	92694	0	34885	0	0	59829	39892	0	0	57616	14330	328	0	18	0	13835	179035	0	151689	141211	127783	0	0	2188	0	133042	134354	0	0	70594
sp10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	0	0	115433	0	0	0	0	84128	0	0	0	0	134422	14015	67871	0	0	0	0	0	0	243468	0	0	0	0	0	38169	73019	0	0	0	54762	49142	133733	0	0	81062	0	0	0	10952	90807	0	91644	1	0	141226	0	0
sp12	69309	0	0	0	42451	0	133522	0	0	0	0	29562	0	32095	0	94515	0	85679	0	76884	0	0	75942	63099	87593	0	0	0	0	93564	146499	0	0	0	0	0	4047	0	114311	0	0	75	0	6389	0	0	87	0	399	110068
sp13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67487	0	0	0	0	0	0
sp14	0	0	0	0	0	126542	183586	0	0	9	620	37852	0	81932	141090	5474	0	5	0	0	97806	0	166303	83138	0	0	93935	1592	100	77436	0	172866	187528	179921	137090	0	13	0	89991	0	39795	0	1	0	104191	88526	187655	0	0	81871
