	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50	sp51	sp52	sp53	sp54	sp55	sp56	sp57	sp58	sp59	sp60	sp61	sp62	sp63	sp64	sp65	sp66	sp67	sp68	sp69	sp70	sp71	sp72	sp73	sp74	sp75	sp76	sp77	sp78	sp79	sp80	sp81	sp82	sp83	sp84	sp85	sp86	sp87	sp88	sp89	sp90	sp91	sp92	sp93	sp94	sp95	sp96	sp97	sp98	sp99	sp100	sp101	sp102	sp103	sp104	sp105	sp106	sp107	sp108	sp109	sp110	sp111	sp112	sp113	sp114	sp115	sp116	sp117	sp118	sp119	sp120	sp121	sp122	sp123	sp124	sp125	sp126	sp127	sp128	sp129	sp130	sp131	sp132	sp133	sp134	sp135	sp136	sp137	sp138	sp139	sp140	sp141	sp142	sp143	sp144	sp145	sp146	sp147	sp148	sp149	sp150	sp151	sp152	sp153	sp154	sp155	sp156	sp157	sp158	sp159	sp160	sp161	sp162	sp163	sp164	sp165	sp166	sp167	sp168	sp169	sp170	sp171	sp172	sp173	sp174	sp175	sp176	sp177	sp178	sp179	sp180	sp181	sp182	sp183	sp184	sp185	sp186	sp187	sp188	sp189	sp190	sp191	sp192	sp193	sp194	sp195	sp196	sp197	sp198	sp199	sp200
sp1	-0.5	0.377595634820219	-0.193127127994364	-0.283637999958824	-0.0539730034520733	-0.292789562045848	0	-0.22857097525662	-0.00392228623465868	0	0	0	-0.142965079327009	0	0	0	0	0	0	0	0	0	-0.440683310936834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00678168469528668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.371006776614843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.48452225398618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.201343003998909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	-0.397965145391079	-0.5	-0.199928241312348	-0.0564666145922849	-0.0947992147827893	-0.182509408979574	-0.312665946710503	-0.404591764246337	-0.221610678694884	0	-0.0343251603106456	-0.257437053233199	-0.0266798664124357	-0.465060527980751	-0.303373562269891	-0.454779313878401	-0.166597471370345	-0.363376051104295	-0.332926474929219	-0.376381411093359	0	-0.2686009615249	-0.111855716446163	-0.0711032300463086	-0.406381133352465	0	-0.275331323681942	0.328130864478089	-0.465776080352047	-0.497647965220336	-0.0212338203620655	-0.0160486815574463	-0.111774806272516	0.0726934436447499	-0.0299571283820015	-0.368990443497964	-0.296410772258246	-0.135523146239463	0.207446200466398	-0.333744685167547	-0.326579521527423	-0.28837130803843	-0.160653735558772	0.327689134093632	0.36110764020157	-0.171669412159086	0	-0.276016468048026	-0.196483010526821	-0.361122506140843	0	0	-0.103705932870973	-0.368920764733518	-0.117601544464515	-0.212976739183879	-0.276585861228458	-0.103505250490464	-0.0114816724658222	-0.0162411607799539	0	0	0	0	0	0	-0.4292395376598	0	0	0	0	0	0	0	-0.0765475567931775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.347594511414324	0	0	-0.298222635148633	-0.444796034269824	0.439482520338122	0	0	0	0	0	0	-0.435082471925935	0	0	0	0	0	0	0	0	0	0	0	-0.0237249509742111	0	-0.349535256876033	0	0	0	0	-0.00608068639285397	0	0	0	0	0	0	0	0	0	-0.0342300638167816	0	0	0	0	-0.429052448708131	0	0	-0.154222735933696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.134246583121747	0	0	0	0	0	0	0	0	-0.167195022059998	0	0	0	0	0	0	0	0	0	0	0
sp3	-0.0468615106256562	-0.18766227577413	-0.5	-0.386037347026435	-0.181487486246929	-0.0484412323866435	-0.24293549710752	0	0.356485056827383	-0.256665642415222	0	-0.120011967112382	0	0	0	0	0	0	0	0	0.00230915452659596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	-0.118303630529959	-0.132681889463332	-0.030409675279751	-0.5	-0.426772404072899	-0.192669037509863	0	-0.0599983707322017	0	0.0129736531715281	0	-0.169536169896508	0	0	0	0	-0.145767689201138	0	0	-0.388822635811258	-0.275808280871063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.478894060133651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.245710174149505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	-0.0049909674102813	-0.137467109123487	-0.495001390433377	-0.381358913820127	-0.5	-0.489608166895229	-0.204701170787124	0.181859349045064	0	0	-0.224483001442465	0	-0.138006743417559	0	-0.412389016797922	0	0	-0.163843707806233	-0.27576854620605	0.399550584310591	0	0.383596985052067	-0.142240135919526	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.44563852162306	0	0	0	0	0	0	0	0	0	0	0	0	-0.260096421691733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0570706165407994	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.291385682344399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	-0.138071145413835	-0.0619380776735954	-0.481997717152175	0.416702414944577	-0.292148960084997	-0.5	-0.301626931051183	-0.152809261356909	-0.12194928723817	-0.0595523197959038	-0.119023314049155	-0.179091394969868	0	-0.444311302788169	-0.150553242617345	0	0	0	-0.0976469093138748	0	0	0	0	0	0	0	0	0	0	0	0.0570117878165888	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.401207069148745	-0.0652053326658253	0	-0.166782248825615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.289090287142603	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00805118585157674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	-0.44007415398814	-0.152884124806847	0.00879433136190055	-0.1199640958776	-0.079151662606732	-0.5	0	-0.319802150173816	-0.264873177894433	-0.017042332696137	0	0	0	0	0	0	0	0	0	-0.0497435552551528	0	0	0	0	0	0	0	0	0	0	0	-0.235297064358322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.220680355060538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	-0.0572793271105806	-0.356166299308632	0	0.327471205128133	-0.290936180461321	-0.0508736382313818	0	-0.5	0	0	0	0	0	0	0	0	0	-0.0393033532500523	0	0	0	0	0	0	0	0	0	0	0	0	-0.27852863018082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.23317090198477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	-0.243679847143088	-0.24195121418807	-0.098927277855936	0	0	0.33870387636326	-0.116666166061577	0	-0.5	-0.383022955607756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.37334212917971	0	0	0	0	0	0	0	0	0	-0.204429368332897	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.197252633241217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.183901048436819	0	0	0	0	0	0	0	0	0	0	0	0
sp10	0	0	-0.225815752339221	-0.0465218228655611	0	-0.271309631468256	0.447781336875334	0	-0.303732850951357	-0.5	-0.108400850389989	-0.477389543611151	-0.201697790640676	-0.239553529915605	0	-0.0154000907549146	0	0	0	0	0	0	0	0	0	-0.43936021684713	0	0	0	0	0	0	0.258050175324865	0	-0.483484753914459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
