#OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample19	sample20	sample21	sample22	sample23	sample24	sample25	sample26	sample27	sample28	sample29	sample30	sample31	sample32	sample33	sample34	sample35	sample36	sample37	sample38	sample39	sample40	sample41	sample42	sample43	sample44	sample45	sample46	sample47	sample48	sample49	sample50	sample51	sample52	sample53	sample54	sample55	sample56	sample57	sample58	sample59	sample60	sample61	sample62	sample63	sample64	sample65	sample66	sample67	sample68	sample69	sample70	sample71	sample72	sample73	sample74	sample75	sample76	sample77	sample78	sample79	sample80	sample81	sample82	sample83	sample84	sample85	sample86	sample87	sample88	sample89	sample90	sample91	sample92	sample93	sample94	sample95	sample96	sample97	sample98	sample99	sample100
sp1	24618	134421	191668	145551	50624	160883	89045	138493	116735	123775	114919	129598	147901	157654	52745	9714	191763	106005	2781	153170	138695	182348	194467	193704	179634	57799	168468	55628	189749	17973	187126	21899	128799	76793	165720	90166	158805	114929	160410	33555	30221	13021	163846	100498	27253	97612	76957	137584	59570	73791	129143	179673	154197	88233	90489	54201	139210	156228	179548	109752	139706	20669	139819	117880	22216	190267	185660	137722	50230	69661	43606	140969	63111	149334	136147	2112	124819	169888	186835	194491	21897	127429	162160	35909	64348	133776	187364	60406	198166	111960	31124	32358	111046	83923	33700	169365	23657	125850	157794	91841
sp2	100736	180273	91493	179533	99136	95899	40446	88320	68783	61937	20324	43970	63219	17569	130787	151121	181406	156018	87232	166663	27775	199084	199788	30488	188024	185875	90103	152680	103682	43030	91347	153086	139601	149581	39621	149003	87625	70850	138023	187217	89552	56450	3695	80983	193302	18636	102804	55926	83700	146334	190558	36693	62405	63876	81526	179116	123758	146635	16783	117922	24860	31949	126803	163483	178981	105848	144734	87631	133290	89154	8427	47763	147147	135014	44805	103801	17180	52308	52365	50884	5079	195938	122742	197237	71343	91007	51092	27536	145982	74767	12835	132682	49257	171213	104030	163393	132726	166377	44754	53844
sp3	76	0	68201	0	73162	0	9551	30991	58246	23675	170425	139127	0	8908	0	0	0	25044	0	0	32497	0	0	81002	0	0	40562	0	97980	103290	0	0	0	0	66876	64	0	0	0	4	63729	0	147767	0	15	127813	0	13815	0	0	0	121196	0	2324	8298	0	70679	0	108096	0	2174	0	0	0	0	0	0	0	0	21463	11558	0	22276	0	15249	42784	69373	349	17085	37376	40638	1191	0	0	52870	0	0	45168	0	91750	58249	0	49	0	35530	0	936	0	1	0
sp4	142275	52308	155225	73337	40931	122480	147854	212119	111031	112002	132398	193735	188387	185566	171835	121565	115947	40107	100483	176881	146119	138215	115231	226339	101828	140521	66161	33356	74704	40817	75822	128574	222208	196767	116229	58052	226700	180032	109902	166	11839	73231	185618	60047	10313	117882	122468	208168	190120	134714	124529	208451	181953	139990	28633	13847	111149	98924	142649	189926	93148	149766	45284	62350	104322	226572	72325	48913	17385	60752	132489	125477	30961	52649	137179	26966	53551	106338	110489	133013	397	96971	164027	100201	110572	219576	105430	201009	191401	179870	40793	186421	158903	125929	49127	130910	122119	114818	104813	158834
sp5	118493	142028	30541	61131	58099	185833	148528	24220	120063	121469	91114	150409	164618	161823	68008	60931	88046	49498	135861	12827	168117	150539	72917	107795	164615	11143	45800	18107	110108	121876	12919	158919	88231	77587	52887	81804	74802	70139	5845	141175	159806	127124	133110	22175	116110	198702	182144	62727	124866	180967	77049	95859	178299	121989	147499	166384	95314	52287	68722	198781	154058	61633	185634	101004	2815	124754	142357	186945	134647	40974	103193	115281	91267	65480	112625	30143	80584	125332	133537	136712	118546	28903	116042	163440	156066	92844	112069	71242	73431	68217	21316	114754	32061	134794	61822	168706	62919	69485	175497	27248
sp6	85533	14659	148331	60084	0	0	0	160383	0	37364	42794	10161	0	0	114326	147204	20334	116915	0	78987	2	0	63417	0	65504	138633	21027	81468	239	0	2127	0	104473	21016	0	79343	29773	84984	195146	1766	0	99504	0	26	1361	18	0	1753	94747	12	84486	15216	0	0	0	0	11824	20924	139228	0	57042	27231	22276	112348	17256	11849	0	0	0	154452	49259	23667	74376	92373	110485	112544	0	2	14348	0	0	49275	0	0	0	0	0	29297	64874	0	181630	72575	91302	91778	3312	0	0	129189	0	75727
sp7	78441	149521	191459	101855	70715	81518	90566	0	4750	69171	75954	104858	109686	189824	49536	48293	0	187909	101182	143415	18953	107983	114217	143967	17225	33733	73584	22	157463	162267	110612	155157	79057	86817	77412	190939	51	164564	20837	105882	30109	59864	190722	65457	77524	128503	56779	4811	54884	123807	130023	56947	14261	172757	424	193610	133055	66096	57564	0	122381	47885	6958	68039	39190	72354	17684	170138	155884	128227	0	38977	94859	56887	109355	153942	2368	3	66675	94106	0	2748	42791	57	75861	144457	110779	26925	115564	691	107836	156461	44851	147568	491	103762	42378	65585	104523	24198
sp8	116885	150247	4584	170729	76784	139519	195852	191244	54082	40474	8175	21832	64499	81914	79054	152645	73121	43795	110597	170843	34139	43399	112508	93298	40516	154264	4339	126105	20163	47064	191788	183722	85220	127730	157739	77103	132301	179365	125425	105131	33926	91234	53419	110332	54436	112051	21442	80546	129276	198321	85243	21672	141711	99179	6044	142707	44939	83147	129836	119558	64862	32729	136074	108598	71774	99491	22934	126180	130191	96132	71979	198778	104568	153350	111140	133602	174076	96235	40892	28854	77965	29292	160070	127650	118684	53439	106714	33029	127777	76474	183949	198349	156985	75637	60189	165153	89825	150276	163165	22362
sp9	143762	129142	215684	115741	100551	80495	149533	25432	96411	158163	69236	106661	37265	228858	158848	30016	2810	130699	137913	73308	26327	129660	169783	228710	151271	93855	105366	16117	135248	56205	129087	72083	198706	88933	201969	168824	28242	122280	153799	179845	28672	112022	92728	108474	162291	40245	192400	6231	209217	34931	86191	82086	88566	90648	129945	190678	164146	74669	12500	16164	134872	10470	136356	31188	17993	192975	85988	214678	156599	161035	14486	141207	183491	62826	110945	212247	177712	17428	80488	181832	171362	125625	136151	53176	170861	166324	220260	144333	189229	17474	167209	135865	154808	170626	155681	81919	137102	50187	80865	66455
sp10	0	0	0	0	8191	0	0	0	1868	0	0	0	39243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	67869	0	0	0	0	11	0	0	0	0	0	0	95769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
