	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25
sp1	-0.5	0	0	-0.421667185000179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	0	-0.5	0	0	0	0	0	0	0	-0.284789180461869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	0	0	-0.5	0	0	-0.488627653894161	-0.269709069336755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00361222336956766	0	0
sp4	0	-0.255264315650722	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp5	0	0	0	0	-0.5	-0.318267786407494	0	0	0	0	0	0	0	0	-0.153906253124839	0	0	0	0	0	0	0	-0.0101103555740952	0	0
sp6	0	0	0	0	-0.0606365147491079	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	0	0	0	0	0	0	-0.121001228084262	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	-0.00730723744083661	-0.497765281811513	0	0	0
sp9	0.0787407025047229	0	0	0	0.372184810103104	0	0	0	-0.5	0	0	0	0	0	-0.270458076474129	0	0	0	0	0	0	0	0	0	0
sp10	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	-0.461015190425473	0	0	0	0	-0.39598569551935	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0
sp13	0	0	0	0	0	0	0	0	0.0160863287046598	0	0	0	-0.5	-0.240867729470539	0	0	0	0	0	0	0	0	0	0	0
sp14	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0
sp15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0
sp16	0	-0.179313362767764	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0
sp17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.301395000396476	0	0	0	0	0	0
sp18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0
sp19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.181497047013261	0	0
sp20	0	0	0	-0.158852700124499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0
sp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	-0.363779949943356
sp22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0346332630137517	-0.5	0	0	0
sp23	0	0	-0.458072053770346	-0.173596973849279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.379290307311115	0	-0.5	0	0
sp24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0
sp25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.447469485673837	0	0	0	-0.5
