	sp1	sp2	sp3	sp4	sp5	sp6	sp7	sp8	sp9	sp10	sp11	sp12	sp13	sp14	sp15	sp16	sp17	sp18	sp19	sp20	sp21	sp22	sp23	sp24	sp25	sp26	sp27	sp28	sp29	sp30	sp31	sp32	sp33	sp34	sp35	sp36	sp37	sp38	sp39	sp40	sp41	sp42	sp43	sp44	sp45	sp46	sp47	sp48	sp49	sp50
sp1	-0.5	0	-0.0372802445477108	-0.195097988566193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.294095376140033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp2	-0.479501142952039	-0.5	0	-0.491290357002895	0	0	0	0	0	0	0	0	0	0	-0.0106127299105702	0	0	0	0	0	0	-0.362996506794782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp3	0	-0.447246099150789	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp4	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.37883622876761	0	0	0	0	0	0	0	0	0
sp5	0	-0.482943905432865	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp6	0	0	0	-0.278377867205301	-0.0589315627580578	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0602434692098456	0	0	0	0	0	0	0	0	0	0	0	0.322417853166198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp7	0	0.121803305111469	0	0	-0.256120209357117	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp8	0	0	0	0	0	0	-0.239661117174434	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp9	0	0	0	0	0	-0.172602098860787	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2916496353033	0	0	0	0	0
sp10	0	0	0	0	0	0	-0.0787226568609453	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.0899014718364668	-0.315279298160416	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp11	-0.310792025450226	0	0	0	0	0	0	0	0	0	-0.5	0.161553506719382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp12	0	0	0	0.419452779831344	0	0	0	0	0	0	-0.476220008620657	-0.5	0	0	0.218282856350385	0	-0.432769652376508	0.0518092435232433	0	0	0	0	0	0	0	0	-0.201742140731644	-0.327739636378482	-0.0793213078862126	0	0	0	0	0	0	0	0	0	-0.125641108683092	0	0	0	0	0	0	0	0	0	0	0
sp13	-0.302376997313972	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp14	0	0	0	-0.140363641932092	-0.0710215869364538	0	0	0	0	0	0	0	0	-0.5	-0.341029127772679	-0.395304531313514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp15	0	0.253341140285712	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp16	0	0	0	0	0	-0.0794388780248887	0	0	0	0	0	0	0	0.442094430944414	0	-0.5	0	0.45799468988572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.385292969983052	0	0	0	0	0	0	0	0	-0.424476310858794	0	0	0	0	0	0	0
sp17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp18	0	0	0	0	0	0	0	0	0	-0.14220755192264	0	0	0	0	0	0	0	-0.5	0	0	-0.0309667331065633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp19	0	0	0	0	0	0	0	0	0	-0.329103357555207	0	0	0	0	0	0	-0.131763353575885	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp20	0	0	0	0	0	-0.431296708804045	0	0	0	-0.136287826407393	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	-0.389586526349853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.326884906685608	0	0	-0.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp22	0	-0.499912977678541	0	0	0	0	0	0	0	0	0	-0.482513458494218	0	0	0	0	0	0	0	0	0	-0.5	0	0	0	0	0	0	0	0	0	-0.112148041114192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sp23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5	0	-0.290586953005646	0	-0.258972191844406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
