id,otu_table,obs_metadata,sample_metadata,children_map
scale_free_negbin,../../data/norta/input/scale_free_negbin/otu_table.tsv,../../data/norta/input/scale_free_negbin/obs_metadata.tsv,../../data/norta/input/scale_free_negbin/sample_metadata.tsv,../../data/norta/input/scale_free_negbin/children_map.json
cluster_zinegbin,../../data/norta/input/cluster_zinegbin/otu_table.tsv,../../data/norta/input/cluster_zinegbin/obs_metadata.tsv,../../data/norta/input/cluster_zinegbin/sample_metadata.tsv,../../data/norta/input/cluster_zinegbin/children_map.json
block_zinegbin,../../data/norta/input/block_zinegbin/otu_table.tsv,../../data/norta/input/block_zinegbin/obs_metadata.tsv,../../data/norta/input/block_zinegbin/sample_metadata.tsv,../../data/norta/input/block_zinegbin/children_map.json
erdos_renyi_negbin,../../data/norta/input/erdos_renyi_negbin/otu_table.tsv,../../data/norta/input/erdos_renyi_negbin/obs_metadata.tsv,../../data/norta/input/erdos_renyi_negbin/sample_metadata.tsv,../../data/norta/input/erdos_renyi_negbin/children_map.json
scale_free_pois,../../data/norta/input/scale_free_pois/otu_table.tsv,../../data/norta/input/scale_free_pois/obs_metadata.tsv,../../data/norta/input/scale_free_pois/sample_metadata.tsv,../../data/norta/input/scale_free_pois/children_map.json
cluster_negbin,../../data/norta/input/cluster_negbin/otu_table.tsv,../../data/norta/input/cluster_negbin/obs_metadata.tsv,../../data/norta/input/cluster_negbin/sample_metadata.tsv,../../data/norta/input/cluster_negbin/children_map.json
block_negbin,../../data/norta/input/block_negbin/otu_table.tsv,../../data/norta/input/block_negbin/obs_metadata.tsv,../../data/norta/input/block_negbin/sample_metadata.tsv,../../data/norta/input/block_negbin/children_map.json
cluster_pois,../../data/norta/input/cluster_pois/otu_table.tsv,../../data/norta/input/cluster_pois/obs_metadata.tsv,../../data/norta/input/cluster_pois/sample_metadata.tsv,../../data/norta/input/cluster_pois/children_map.json
band_pois,../../data/norta/input/band_pois/otu_table.tsv,../../data/norta/input/band_pois/obs_metadata.tsv,../../data/norta/input/band_pois/sample_metadata.tsv,../../data/norta/input/band_pois/children_map.json
erdos_renyi_pois,../../data/norta/input/erdos_renyi_pois/otu_table.tsv,../../data/norta/input/erdos_renyi_pois/obs_metadata.tsv,../../data/norta/input/erdos_renyi_pois/sample_metadata.tsv,../../data/norta/input/erdos_renyi_pois/children_map.json
hub_pois,../../data/norta/input/hub_pois/otu_table.tsv,../../data/norta/input/hub_pois/obs_metadata.tsv,../../data/norta/input/hub_pois/sample_metadata.tsv,../../data/norta/input/hub_pois/children_map.json
band_zinegbin,../../data/norta/input/band_zinegbin/otu_table.tsv,../../data/norta/input/band_zinegbin/obs_metadata.tsv,../../data/norta/input/band_zinegbin/sample_metadata.tsv,../../data/norta/input/band_zinegbin/children_map.json
band_negbin,../../data/norta/input/band_negbin/otu_table.tsv,../../data/norta/input/band_negbin/obs_metadata.tsv,../../data/norta/input/band_negbin/sample_metadata.tsv,../../data/norta/input/band_negbin/children_map.json
hub_negbin,../../data/norta/input/hub_negbin/otu_table.tsv,../../data/norta/input/hub_negbin/obs_metadata.tsv,../../data/norta/input/hub_negbin/sample_metadata.tsv,../../data/norta/input/hub_negbin/children_map.json
erdos_renyi_zinegbin,../../data/norta/input/erdos_renyi_zinegbin/otu_table.tsv,../../data/norta/input/erdos_renyi_zinegbin/obs_metadata.tsv,../../data/norta/input/erdos_renyi_zinegbin/sample_metadata.tsv,../../data/norta/input/erdos_renyi_zinegbin/children_map.json
scale_free_zinegbin,../../data/norta/input/scale_free_zinegbin/otu_table.tsv,../../data/norta/input/scale_free_zinegbin/obs_metadata.tsv,../../data/norta/input/scale_free_zinegbin/sample_metadata.tsv,../../data/norta/input/scale_free_zinegbin/children_map.json
hub_zinegbin,../../data/norta/input/hub_zinegbin/otu_table.tsv,../../data/norta/input/hub_zinegbin/obs_metadata.tsv,../../data/norta/input/hub_zinegbin/sample_metadata.tsv,../../data/norta/input/hub_zinegbin/children_map.json
block_pois,../../data/norta/input/block_pois/otu_table.tsv,../../data/norta/input/block_pois/obs_metadata.tsv,../../data/norta/input/block_pois/sample_metadata.tsv,../../data/norta/input/block_pois/children_map.json
