id,otu_table,obs_metadata,sample_metadata,children_map
50N_200S,../../data/seqtime/input/50N_200S/otu_table.tsv,../../data/seqtime/input/50N_200S/obs_metadata.tsv,../../data/seqtime/input/50N_200S/sample_metadata.tsv,../../data/seqtime/input/50N_200S/children_map.json
200N_50S,../../data/seqtime/input/200N_50S/otu_table.tsv,../../data/seqtime/input/200N_50S/obs_metadata.tsv,../../data/seqtime/input/200N_50S/sample_metadata.tsv,../../data/seqtime/input/200N_50S/children_map.json
150N_100S,../../data/seqtime/input/150N_100S/otu_table.tsv,../../data/seqtime/input/150N_100S/obs_metadata.tsv,../../data/seqtime/input/150N_100S/sample_metadata.tsv,../../data/seqtime/input/150N_100S/children_map.json
100N_50S,../../data/seqtime/input/100N_50S/otu_table.tsv,../../data/seqtime/input/100N_50S/obs_metadata.tsv,../../data/seqtime/input/100N_50S/sample_metadata.tsv,../../data/seqtime/input/100N_50S/children_map.json
100N_100S,../../data/seqtime/input/100N_100S/otu_table.tsv,../../data/seqtime/input/100N_100S/obs_metadata.tsv,../../data/seqtime/input/100N_100S/sample_metadata.tsv,../../data/seqtime/input/100N_100S/children_map.json
100N_500S,../../data/seqtime/input/100N_500S/otu_table.tsv,../../data/seqtime/input/100N_500S/obs_metadata.tsv,../../data/seqtime/input/100N_500S/sample_metadata.tsv,../../data/seqtime/input/100N_500S/children_map.json
10N_200S,../../data/seqtime/input/10N_200S/otu_table.tsv,../../data/seqtime/input/10N_200S/obs_metadata.tsv,../../data/seqtime/input/10N_200S/sample_metadata.tsv,../../data/seqtime/input/10N_200S/children_map.json
10N_100S,../../data/seqtime/input/10N_100S/otu_table.tsv,../../data/seqtime/input/10N_100S/obs_metadata.tsv,../../data/seqtime/input/10N_100S/sample_metadata.tsv,../../data/seqtime/input/10N_100S/children_map.json
25N_50S,../../data/seqtime/input/25N_50S/otu_table.tsv,../../data/seqtime/input/25N_50S/obs_metadata.tsv,../../data/seqtime/input/25N_50S/sample_metadata.tsv,../../data/seqtime/input/25N_50S/children_map.json
150N_200S,../../data/seqtime/input/150N_200S/otu_table.tsv,../../data/seqtime/input/150N_200S/obs_metadata.tsv,../../data/seqtime/input/150N_200S/sample_metadata.tsv,../../data/seqtime/input/150N_200S/children_map.json
50N_50S,../../data/seqtime/input/50N_50S/otu_table.tsv,../../data/seqtime/input/50N_50S/obs_metadata.tsv,../../data/seqtime/input/50N_50S/sample_metadata.tsv,../../data/seqtime/input/50N_50S/children_map.json
25N_500S,../../data/seqtime/input/25N_500S/otu_table.tsv,../../data/seqtime/input/25N_500S/obs_metadata.tsv,../../data/seqtime/input/25N_500S/sample_metadata.tsv,../../data/seqtime/input/25N_500S/children_map.json
150N_500S,../../data/seqtime/input/150N_500S/otu_table.tsv,../../data/seqtime/input/150N_500S/obs_metadata.tsv,../../data/seqtime/input/150N_500S/sample_metadata.tsv,../../data/seqtime/input/150N_500S/children_map.json
50N_100S,../../data/seqtime/input/50N_100S/otu_table.tsv,../../data/seqtime/input/50N_100S/obs_metadata.tsv,../../data/seqtime/input/50N_100S/sample_metadata.tsv,../../data/seqtime/input/50N_100S/children_map.json
25N_100S,../../data/seqtime/input/25N_100S/otu_table.tsv,../../data/seqtime/input/25N_100S/obs_metadata.tsv,../../data/seqtime/input/25N_100S/sample_metadata.tsv,../../data/seqtime/input/25N_100S/children_map.json
200N_200S,../../data/seqtime/input/200N_200S/otu_table.tsv,../../data/seqtime/input/200N_200S/obs_metadata.tsv,../../data/seqtime/input/200N_200S/sample_metadata.tsv,../../data/seqtime/input/200N_200S/children_map.json
100N_200S,../../data/seqtime/input/100N_200S/otu_table.tsv,../../data/seqtime/input/100N_200S/obs_metadata.tsv,../../data/seqtime/input/100N_200S/sample_metadata.tsv,../../data/seqtime/input/100N_200S/children_map.json
150N_50S,../../data/seqtime/input/150N_50S/otu_table.tsv,../../data/seqtime/input/150N_50S/obs_metadata.tsv,../../data/seqtime/input/150N_50S/sample_metadata.tsv,../../data/seqtime/input/150N_50S/children_map.json
10N_500S,../../data/seqtime/input/10N_500S/otu_table.tsv,../../data/seqtime/input/10N_500S/obs_metadata.tsv,../../data/seqtime/input/10N_500S/sample_metadata.tsv,../../data/seqtime/input/10N_500S/children_map.json
50N_500S,../../data/seqtime/input/50N_500S/otu_table.tsv,../../data/seqtime/input/50N_500S/obs_metadata.tsv,../../data/seqtime/input/50N_500S/sample_metadata.tsv,../../data/seqtime/input/50N_500S/children_map.json
25N_200S,../../data/seqtime/input/25N_200S/otu_table.tsv,../../data/seqtime/input/25N_200S/obs_metadata.tsv,../../data/seqtime/input/25N_200S/sample_metadata.tsv,../../data/seqtime/input/25N_200S/children_map.json
10N_50S,../../data/seqtime/input/10N_50S/otu_table.tsv,../../data/seqtime/input/10N_50S/obs_metadata.tsv,../../data/seqtime/input/10N_50S/sample_metadata.tsv,../../data/seqtime/input/10N_50S/children_map.json
200N_100S,../../data/seqtime/input/200N_100S/otu_table.tsv,../../data/seqtime/input/200N_100S/obs_metadata.tsv,../../data/seqtime/input/200N_100S/sample_metadata.tsv,../../data/seqtime/input/200N_100S/children_map.json
200N_500S,../../data/seqtime/input/200N_500S/otu_table.tsv,../../data/seqtime/input/200N_500S/obs_metadata.tsv,../../data/seqtime/input/200N_500S/sample_metadata.tsv,../../data/seqtime/input/200N_500S/children_map.json
